Entity,Year,"International Historical Statistics (Births per 1,000) (Brian Mitchell (2013))"
New Zealand,1855,39.2
New Zealand,1856,37.8
New Zealand,1857,39.5
New Zealand,1858,38.2
New Zealand,1859,37
New Zealand,1860,41.2
New Zealand,1861,38.5
New Zealand,1862,36.1
New Zealand,1863,35.3
New Zealand,1864,38.5
New Zealand,1865,41.1
New Zealand,1866,42.9
New Zealand,1867,42.2
New Zealand,1868,42.1
New Zealand,1869,41.9
New Zealand,1870,42.3
New Zealand,1871,40.6
New Zealand,1872,35.9
New Zealand,1873,39
New Zealand,1874,40.3
New Zealand,1875,40.2
New Zealand,1876,41.7
New Zealand,1877,41.3
New Zealand,1878,42
New Zealand,1879,40.3
New Zealand,1880,40.8
New Zealand,1881,38
New Zealand,1882,37.3
New Zealand,1883,36.3
New Zealand,1884,35.9
New Zealand,1885,34.4
New Zealand,1886,33.2
New Zealand,1887,32.1
New Zealand,1888,31.2
New Zealand,1889,30.2
New Zealand,1890,29.4
New Zealand,1891,29
New Zealand,1892,27.8
New Zealand,1893,27.5
New Zealand,1894,27.3
New Zealand,1895,26.8
New Zealand,1896,26.3
New Zealand,1897,26
New Zealand,1898,25.7
New Zealand,1899,25.1
New Zealand,1900,25.6
New Zealand,1901,26.3
New Zealand,1902,25.9
New Zealand,1903,26.6
New Zealand,1904,26.9
New Zealand,1905,27.2
New Zealand,1906,27.1
New Zealand,1907,27.3
New Zealand,1908,27.5
New Zealand,1909,27.3
New Zealand,1910,26.2
New Zealand,1911,26
New Zealand,1912,26.5
New Zealand,1913,26.1
New Zealand,1914,26
New Zealand,1915,25.3
New Zealand,1916,25.9
New Zealand,1917,25.7
New Zealand,1918,23.4
New Zealand,1919,21.4
New Zealand,1920,25.1
New Zealand,1921,23.2
New Zealand,1922,23.3
New Zealand,1923,21.9
New Zealand,1924,21.6
New Zealand,1925,21.6
New Zealand,1926,21.2
New Zealand,1927,20.4
New Zealand,1928,19.9
New Zealand,1929,19.7
New Zealand,1930,19.4
New Zealand,1931,19.1
New Zealand,1932,18.1
New Zealand,1933,17.7
New Zealand,1934,17.6
New Zealand,1935,17.4
New Zealand,1936,18.1
New Zealand,1937,18.9
New Zealand,1938,19.3
New Zealand,1939,20.2
New Zealand,1940,22.6
New Zealand,1941,24.1
New Zealand,1942,23.1
New Zealand,1943,21.2
New Zealand,1944,23
New Zealand,1945,24.6
New Zealand,1946,27.1
New Zealand,1947,27.7
New Zealand,1948,26.8
New Zealand,1949,26.1
New Zealand,1950,25.9
New Zealand,1951,25.6
New Zealand,1952,26
New Zealand,1953,25.4
New Zealand,1954,25.9
New Zealand,1955,26.1
New Zealand,1956,26
New Zealand,1957,26.2
New Zealand,1958,26.6
New Zealand,1959,26.5
New Zealand,1960,26.5
New Zealand,1961,27.1
New Zealand,1962,26.2
New Zealand,1963,25.5
New Zealand,1964,24.2
New Zealand,1965,22.9
New Zealand,1966,22.5
New Zealand,1967,22.5
New Zealand,1968,22.7
New Zealand,1969,22.6
New Zealand,1970,22.1
New Zealand,1971,22.6
New Zealand,1972,21.8
New Zealand,1973,20.5
New Zealand,1974,19.6
New Zealand,1975,18.4
New Zealand,1976,17.7
New Zealand,1977,17.4
New Zealand,1978,16.3
New Zealand,1979,16.8
New Zealand,1980,16.2
New Zealand,1981,16.3
New Zealand,1982,15.7
New Zealand,1983,15.8
New Zealand,1984,16
New Zealand,1985,16
New Zealand,1986,16.3
New Zealand,1987,16.8
New Zealand,1988,17.5
New Zealand,1989,17.4
New Zealand,1990,17.9
New Zealand,1991,17.6
New Zealand,1992,17.2
New Zealand,1993,17.1
New Zealand,1994,16.3
New Zealand,1995,15.8
New Zealand,1996,15.4
New Zealand,1997,15.3
New Zealand,1998,15.1
New Zealand,1999,14.9
New Zealand,2000,14.7
New Zealand,2001,14.4
New Zealand,2002,13.7
New Zealand,2003,14
New Zealand,2004,14.2
New Zealand,2005,14
New Zealand,2006,14.14543803
New Zealand,2007,15.14651278
New Zealand,2008,15.07250111
New Zealand,2009,14.49163539
Taiwan,1906,38.6
Taiwan,1907,39.1
Taiwan,1908,38.2
Taiwan,1909,40.2
Taiwan,1910,41.3
Taiwan,1911,41.8
Taiwan,1912,41.3
Taiwan,1913,40.8
Taiwan,1914,41.4
Taiwan,1915,40
Taiwan,1916,37.3
Taiwan,1917,40.9
Taiwan,1918,39.7
Taiwan,1919,38.5
Taiwan,1920,39.5
Taiwan,1921,42.8
Taiwan,1922,41.8
Taiwan,1923,39.1
Taiwan,1924,41.4
Taiwan,1925,40.8
Taiwan,1926,43.7
Taiwan,1927,43.2
Taiwan,1928,43.7
Taiwan,1929,44
Taiwan,1930,44.8
Taiwan,1931,45.8
Taiwan,1932,44
Taiwan,1933,44.3
Taiwan,1934,44.6
Taiwan,1935,44.9
Taiwan,1936,43.5
Taiwan,1937,44.8
Taiwan,1938,43.1
Taiwan,1939,43.7
Taiwan,1940,43
Taiwan,1941,41.1
Taiwan,1942,40.3
Taiwan,1943,40
Taiwan,1947,38.3
Taiwan,1948,39.7
Taiwan,1949,42.4
Taiwan,1950,43.4
Taiwan,1951,50
Taiwan,1952,46.6
Taiwan,1953,45.2
Taiwan,1954,44.6
Taiwan,1955,45.3
Taiwan,1956,44.8
Taiwan,1957,41.4
Taiwan,1958,41.7
Taiwan,1959,41.2
Taiwan,1960,39.5
Taiwan,1961,38.3
Taiwan,1962,37.4
Taiwan,1963,36.3
Taiwan,1964,34.5
Taiwan,1965,32.7
Taiwan,1966,32.4
Taiwan,1967,28.5
Taiwan,1968,29.3
Taiwan,1969,27.9
Taiwan,1970,27.2
Taiwan,1971,25.6
Taiwan,1972,24.2
Taiwan,1973,23.8
Taiwan,1974,23.4
Taiwan,1975,23
Taiwan,1976,25.9
Taiwan,1977,23.8
Taiwan,1978,24.1
Taiwan,1979,24.4
Taiwan,1980,23.4
Taiwan,1981,23
Taiwan,1982,22.1
Taiwan,1983,20.6
Taiwan,1984,19.6
Taiwan,1985,18
Taiwan,1986,15.9
Taiwan,1987,16
Taiwan,1988,17.2
Taiwan,1989,15.7
Taiwan,1990,16.6
Taiwan,1991,15.7
Taiwan,1992,15.5
Taiwan,1993,15.6
Taiwan,1994,15.3
Taiwan,1995,15.5
Taiwan,1996,15.2
Taiwan,1997,15.1
Taiwan,1998,12.4
Taiwan,1999,12.9
Taiwan,2000,13.8
Taiwan,2001,11.7
Taiwan,2002,11
Taiwan,2003,10
Taiwan,2004,9.6
Taiwan,2005,9.1
Taiwan,2006,9
Taiwan,2007,9
Taiwan,2008,8.6
Taiwan,2009,8.3
Taiwan,2010,7.2
